snpId,GeneID,GeneSymbol,Disease,Rank,Reps,HighHits,Rules,RankOrder,chromosome,position,variant_consequence_type,Severity,Shape,BPfull,SeverityPlot,Label
rs11657747,22861,NLRP1,Alzheimer's Disease,3938,10,45.8,873.1,393.8,17,5541923,missense variant,Moderate,19,2396368645,3,""
rs11701,283,ANG,Parkinson Disease,6034,10,62.1,1485.5,603.4,14,20693894,synonymous variant,Low,19,2127475967,1,""
rs117026326,2969,GTF2I,Multiple Sclerosis,4435,10,25.8,209.2,443.5,7,74711703,intron variant,Modifier,19,1259504991,2,""
rs11711441,56922,MCCC1,Parkinson Disease,9265,10,33.1,414.2,926.5,3,183103487,intron variant,Modifier,19,663794271,2,""
rs1171688751,26058,GIGYF2,Parkinson Disease,9015,10,33.7,220.1,901.5,2,232756289,missense variant,Moderate,19,480175309,3,""
rs117250828,9645,MICAL2,Alzheimer's Disease,3983,10,64.6,1275,398.3,11,12171710,intron variant,Modifier,19,1757951976,2,""
rs117267308,7168,TPM1,Parkinson Disease,3901,10,69.4,1203.9,390.1,15,63054177,intron variant,Modifier,19,2274632281,2,""
rs1173546708,7166,TPH1,Alzheimer's Disease,10274,10,35.4,844.5,1027.4,11,18040661,synonymous variant,Low,19,1763820927,1,""
rs11754661,25902,MTHFD1L,Alzheimer's Disease,13367,10,32.5,223,1336.7,6,150885942,intron variant,Modifier,19,1172951207,2,""
rs117612135,5971,RELB,Alzheimer's Disease,2374,10,72,1416.5,237.4,19,45001269,upstream gene variant,Modifier,19,2585818297,2,""
rs117618017,83464,APH1B,Alzheimer's Disease,12517,10,26.2,176.2,1251.7,15,63277703,missense variant,Moderate,19,2274855807,3,""
rs11770757,60412,EXOC4,Alzheimer's Disease,13367,10,32.5,223,1336.7,7,134063193,intron variant,Modifier,19,1318856481,2,""
rs117762348,120892,LRRK2,Parkinson Disease,2534,10,110.9,1240.4,253.4,12,40203810,non coding transcript exon variant,Modifier,19,1909044801,2,""
rs117896735,22876,INPP5F,Parkinson Disease,11317.5,10,35.3,195.3,1131.75,10,119776815,intron variant,Modifier,19,1739510934,2,""
rs117964204,8913,CACNA1G,Alzheimer's Disease,8731,10,26.4,1235.8,873.1,17,50614721,intron variant,Modifier,19,2441441443,2,""
rs118048115,196051,PLPP4,Alzheimer's Disease,17226,10,2.6,187.6,1722.6,10,120519964,intron variant,Modifier,19,1740254083,2,""
rs1181028283,400916,CHCHD10,Parkinson Disease,4045,8,24.125,735.125,505.625,22,23766215,stop gained,High,19,2725088974,4,""
rs118203903,26058,GIGYF2,Parkinson Disease,9015,10,33.7,220.1,901.5,2,232809731,missense variant,Moderate,19,480228751,3,""
rs118203904,26058,GIGYF2,Parkinson Disease,9015,10,33.7,220.1,901.5,2,232790817,missense variant,Moderate,19,480209837,3,""
rs11860603,23274,CLEC16A,Multiple Sclerosis,3793,8,18.125,353.5,474.125,16,11071160,intron variant,Modifier,19,2311978038,2,""
rs11865121,23274,CLEC16A,Multiple Sclerosis,3793,8,18.125,353.5,474.125,16,11072831,intron variant,Modifier,19,2311979709,2,""
rs1189501362,2932,GSK3B,Alzheimer's Disease,87,10,208.9,3569,8.7,3,119863583,missense variant,Moderate,19,600554367,3,rs1189501362
rs11931074,6622,SNCA,Parkinson Disease,1913,10,77.9,3029.6,191.3,4,89718364,intron variant,Modifier,19,765983471,2,""
rs1194931775,102,ADAM10,Alzheimer's Disease,13574,8,10.125,107.75,1696.75,15,58679139,missense variant,Moderate,19,2270257243,3,""
rs1196772897,8633,UNC5C,Alzheimer's Disease,5727,10,26.4,1235.8,572.7,4,95301704,missense variant,Moderate,19,771566811,3,""
rs120074117,6609,SMPD1,Parkinson Disease,2473,10,86.7,926.9,247.3,11,6394204,missense variant,Moderate,19,1752174470,3,""
rs120074124,6609,SMPD1,Parkinson Disease,2473,10,86.7,926.9,247.3,11,6391976,missense variant,Moderate,19,1752172242,3,""
rs1202752581,8678,BECN1,Parkinson Disease,1311,10,82,1886.8,131.1,17,42820818,missense variant,Moderate,19,2433647540,3,""
rs12044852,965,CD58,Multiple Sclerosis,756,7,45.1428571428572,1747.28571428571,108,1,116545157,intron variant,Modifier,19,116545157,2,""
rs1205185774,10598,AHSA1,Alzheimer's Disease,2927,9,44.7777777777778,1722.66666666667,325.222222222222,14,77469161,missense variant,Moderate,19,2184251234,3,""
rs12053868,3556,IL1RAP,Alzheimer's Disease,6807,10,45.8,873.1,680.7,3,190582215,intron variant,Modifier,19,671272999,2,""
rs1208076129,5460,POU5F1,Parkinson Disease,1844,10,47.4,877.8,184.4,6,31164861,stop gained,High,19,1053230126,4,""
rs1210737543,5728,PTEN,Parkinson Disease,238,10,236,6399.7,23.8,10,87952124,missense variant,Moderate,19,1707686243,3,rs1210737543
rs12129547,64388,GREM2,Alzheimer's Disease,10310,10,35.1,409.6,1031,1,240531955,intron variant,Modifier,19,240531955,2,""
rs12148050,7187,TRAF3,Multiple Sclerosis,1573,10,35.4,939,157.3,14,102797451,intron variant,Modifier,19,2209579524,2,""
rs12148780,8854,ALDH1A2,Alzheimer's Disease,11337,8,17.5,648.5,1417.125,15,58289090,intron variant,Modifier,19,2269867194,2,""
rs12149527,51741,WWOX,Multiple Sclerosis,3019.5,10,39.4,352.7,301.95,16,79076699,intron variant,Modifier,19,2379983577,2,""
rs12150390,1394,CRHR1,Parkinson Disease,6465,10,53,691.3,646.5,17,45818862,intron variant,Modifier,19,2436645584,2,""
rs12150390,104909134,LINC02210-CRHR1,Parkinson Disease,13368.5,10,10.6,106.2,1336.85,17,45818862,intron variant,Modifier,19,2436645584,2,""
rs1217691063,4524,MTHFR,Alzheimer's Disease,8746,8,17.5,648.5,1093.25,1,11796309,missense variant,Moderate,8,11796309,3,""
rs1217691063,4524,MTHFR,Multiple Sclerosis,2813,8,14.25,589.5,351.625,1,11796309,missense variant,Moderate,8,11796309,3,""
rs1217691063,4524,MTHFR,Parkinson Disease,7528,8,24.75,539.25,941,1,11796309,missense variant,Moderate,8,11796309,3,""
rs121909329,7415,VCP,Parkinson Disease,4070,6,40.8333333333333,530.333333333333,678.333333333333,9,35065363,missense variant,Moderate,19,1517781450,3,""
rs121909330,7415,VCP,Parkinson Disease,4070,6,40.8333333333333,530.333333333333,678.333333333333,9,35065364,missense variant,Moderate,19,1517781451,3,""
rs121909334,7415,VCP,Parkinson Disease,4070,6,40.8333333333333,530.333333333333,678.333333333333,9,35065255,missense variant,Moderate,19,1517781342,3,""
rs121912438,6647,SOD1,Alzheimer's Disease,687.5,9,80.6666666666667,2315.88888888889,76.3888888888889,21,31667299,missense variant,Moderate,8,2687452178,3,""
rs121912438,6647,SOD1,Parkinson Disease,1184,10,102.4,2127.6,118.4,21,31667299,missense variant,Moderate,8,2687452178,3,""
rs121912442,6647,SOD1,Alzheimer's Disease,687.5,9,80.6666666666667,2315.88888888889,76.3888888888889,21,31659783,missense variant,Moderate,19,2687444662,3,""
rs121912443,6647,SOD1,Alzheimer's Disease,687.5,9,80.6666666666667,2315.88888888889,76.3888888888889,21,31663857,missense variant,Moderate,8,2687448736,3,""
rs121912443,6647,SOD1,Parkinson Disease,1184,10,102.4,2127.6,118.4,21,31663857,missense variant,Moderate,8,2687448736,3,""
rs121917763,7054,TH,Parkinson Disease,6806,8,14.125,1037.625,850.75,11,2167896,missense variant,Moderate,19,1747948162,3,""
rs121917767,7345,UCHL1,Parkinson Disease,2857.5,9,70.5555555555556,1418.33333333333,317.5,4,41260751,missense variant,Moderate,19,717525858,3,""
rs1219680453,3416,IDE,Alzheimer's Disease,6442,9,22.8888888888889,954.777777777778,715.777777777778,10,92573955,missense variant,Moderate,19,1712308074,3,""
rs1220000453,1270,CNTF,Alzheimer's Disease,10195,10,63.8,502.3,1019.5,11,58624189,synonymous variant,Low,19,1804404455,1,""
rs1222213359,7422,VEGFA,Alzheimer's Disease,462,8,61,3290.875,57.75,6,43770966,missense variant,Moderate,19,1065836231,3,""
rs1224426272,11113,CIT,Parkinson Disease,6747,9,32.1111111111111,616.333333333333,749.666666666667,12,119869138,missense variant,Moderate,19,1988710129,3,""
rs12285364,6653,SORL1,Alzheimer's Disease,3418,10,77.1,1152.4,341.8,11,121522517,intron variant,Modifier,19,1867302783,2,""
rs1232525952,4157,MC1R,Parkinson Disease,13072,10,10,300.3,1307.2,16,89919597,synonymous variant,Low,19,2390826475,1,""
rs12344615,29979,UBQLN1,Alzheimer's Disease,8495.5,10,58.7,398.2,849.55,9,83666280,intron variant,Modifier,8,1566382367,2,""
rs12344615,29979,UBQLN1,Parkinson Disease,7139,10,69,414.4,713.9,9,83666280,intron variant,Modifier,8,1566382367,2,""
rs1235948930,4137,MAPT,Alzheimer's Disease,3045.5,9,50.6666666666667,953.333333333333,338.388888888889,17,45983865,missense variant,Moderate,19,2436810587,3,""
rs12435391,10972,TMED10,Alzheimer's Disease,7962.5,9,37.7777777777778,713.888888888889,884.722222222222,14,75135034,intron variant,Modifier,19,2181917107,2,""
rs12435998,6400,SEL1L,Alzheimer's Disease,9942,9,22.8888888888889,768.888888888889,1104.66666666667,14,81506329,intron variant,Modifier,19,2188288402,2,""
rs12456492,6014,RIT2,Parkinson Disease,11087,10,33.7,220.1,1108.7,18,43093415,intron variant,Modifier,19,2508624899,2,""
